                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.67309,                0.76774,                0.91932,                0.72214,                0.86837,                 0.8632,                0.68072,                0.89821,                 1.0941,                 1.0757,               0.001783,               0.001783,               0.001783
                     85,                0.68445,                0.80857,                0.93608,                0.76157,                0.85676,                0.87213,                0.67264,                0.93481,                 1.0686,                 1.1039,               0.001684,               0.001684,               0.001684
                     86,                 0.6408,                0.72834,                0.96126,                0.76157,                0.85676,                0.87213,                0.67264,                0.93481,                 1.0686,                 1.1039,               0.001585,               0.001585,               0.001585
                     87,                0.67777,                0.80258,                0.92556,                0.75608,                0.87528,                0.87145,                0.68654,                0.95038,                  1.071,                 1.1198,               0.001486,               0.001486,               0.001486
                     88,                0.62296,                0.73716,                0.93229,                0.75608,                0.87528,                0.87145,                0.68654,                0.95038,                  1.071,                 1.1198,               0.001387,               0.001387,               0.001387
                     89,                0.66229,                0.77769,                0.94908,                0.78407,                0.86603,                0.87898,                 0.7111,                0.92288,                 1.0431,                 1.1068,               0.001288,               0.001288,               0.001288
                     90,                0.72422,                 1.1971,                0.94548,                0.78407,                0.86603,                0.87898,                 0.7111,                0.92288,                 1.0431,                 1.1068,               0.001189,               0.001189,               0.001189
                     91,                0.70213,                 1.0823,                0.97847,                0.81051,                0.85404,                0.88319,                0.71666,                0.89006,                 1.0258,                 1.0917,                0.00109,                0.00109,                0.00109
                     92,                0.66554,                 1.1901,                0.93772,                0.81051,                0.85404,                0.88319,                0.71666,                0.89006,                 1.0258,                 1.0917,               0.000991,               0.000991,               0.000991
                     93,                0.68304,                 1.1365,                  0.948,                0.79712,                0.86014,                0.87872,                0.71681,                0.88344,                 1.0361,                  1.087,               0.000892,               0.000892,               0.000892
                     94,                0.70552,                 1.1201,                0.98396,                0.79712,                0.86014,                0.87872,                0.71681,                0.88344,                 1.0361,                  1.087,               0.000793,               0.000793,               0.000793
                     95,                 0.6106,                0.93424,                0.90151,                0.88644,                0.78063,                0.88087,                0.71063,                0.86766,                  1.048,                  1.075,               0.000694,               0.000694,               0.000694
                     96,                0.61556,                0.89125,                0.92505,                0.88644,                0.78063,                0.88087,                0.71063,                0.86766,                  1.048,                  1.075,               0.000595,               0.000595,               0.000595
                     97,                0.61327,                0.88679,                  0.905,                0.81193,                0.80684,                0.86797,                 0.7013,                0.86584,                 1.0682,                 1.0745,               0.000496,               0.000496,               0.000496
                     98,                0.59086,                0.87694,                0.93179,                0.81193,                0.80684,                0.86797,                 0.7013,                0.86584,                 1.0682,                 1.0745,               0.000397,               0.000397,               0.000397
                     99,                0.64297,                0.89631,                0.92434,                0.88363,                0.79285,                0.86515,                0.69816,                0.86511,                 1.0676,                 1.0768,               0.000298,               0.000298,               0.000298
